Protein_IDs,Progulon_ID,Mean_RF_score,Score_StDev,Training_label,Used_for_positive_training,Feature_count,Protein_names,Gene_names,Summed_intensities,prot_in_prn,Manual_annotation,Highlight_genes
Q99714;Q99714-2,P09,0.568985613297284,0.08350846378077,,,269,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,439389826350,yes,FAO,
P56381,P09,0.566494636812706,0.064821404911767,,,122,"ATP synthase subunit epsilon, mitochondrial",ATP5E,11142602910,yes,ATP synthase,
Q9NTG7,P09,0.565770024161959,0.086706440725476,,,126,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",SIRT3,1867007226,yes,,SirT3
P14406,P09,0.565510996627385,0.081833356069432,,,185,"Cytochrome c oxidase subunit 7A2, mitochondrial",COX7A2,31847050040,yes,Complex IV,
Q9Y277;Q9Y277-2,P09,0.565475795361236,0.096940898266406,,,233,Voltage-dependent anion-selective channel protein 3,VDAC3,238030984600,yes,,
Q9Y5Y5;Q9Y5Y5-2,P09,0.564968836213294,0.096580721964085,,,140,Peroxisomal membrane protein PEX16,PEX16,3881697000,yes,,
O75323;O75323-2,P09,0.563981185896885,0.12633094727105,,,197,Protein NipSnap homolog 2,GBAS,31223211120,yes,,
O43678;O43678-2,P09,0.563797129714307,0.120934288517209,,,160,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2,NDUFA2,15990803620,yes,Complex I,
P08574,P09,0.563651707631133,0.110013678483166,,,238,"Cytochrome c1, heme protein, mitochondrial",CYC1,130426312550,yes,Complex III,
P31040;P31040-2;P31040-3,P09,0.563619958436314,0.131181378575133,,,249,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,269327973730,yes,Complex II,
O43674;O43674-2,P09,0.563600364240844,0.096551480603908,,,164,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",NDUFB5,17814622910,yes,Complex I,
P19404,P09,0.563458118917386,0.126615115255388,,,195,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial",NDUFV2,36500645790,yes,Complex I,
P28331;P28331-2;P28331-4;P28331-5;P28331-3,P09,0.562623902168801,0.127724207921825,,,241,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",NDUFS1,160436086010,yes,Complex I,
Q86Y39;Q86Y39-2,P09,0.562604273491653,0.125134096767395,,,147,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,NDUFA11,18277392980,yes,Complex I,
Q7Z7H5;Q7Z7H5-3,P09,0.561196999980782,0.128571301392592,,,179,Transmembrane emp24 domain-containing protein 4,TMED4,18619313530,yes,,
Q16611;Q16611-2,P09,0.560492790073491,0.106329295504735,,,105,Bcl-2 homologous antagonist/killer,BAK1,3757684360,yes,,
Q9Y241;Q9Y241-2,P09,0.560451043850214,0.105482266247155,,,144,"HIG1 domain family member 1A, mitochondrial",HIGD1A,11147945540,yes,Complex IV,
Q969X5;Q969X5-2,P09,0.559160648087762,0.081523383820083,,,213,Endoplasmic reticulum-Golgi intermediate compartment protein 1,ERGIC1,63233142700,yes,,
O95168;O95168-2,P09,0.558593419289211,0.111837447418122,,,179,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,32658748910,yes,Complex I,
P49821-2;P49821,P09,0.557599022239298,0.119008954763591,,,216,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",NDUFV1,63215813720,yes,Complex I,
Q9BVK6,P09,0.556243944538424,0.064246291735562,,,244,Transmembrane emp24 domain-containing protein 9,TMED9,160606058437,yes,,
O15239,P09,0.555847618021984,0.054418327506775,,,58,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1,NDUFA1,809610997,yes,Complex I,
Q13505-3;Q13505,P09,0.55574813230298,0.078558164477856,,,202,Metaxin-1,MTX1,20651933580,yes,,
O14966;O14966-2;O14966-3,P09,0.555649630789047,0.113775590015654,,,128,Ras-related protein Rab-7L1,RAB29,12865077000,yes,,
P17152,P09,0.554953103145675,0.104835627829547,,,130,"Transmembrane protein 11, mitochondrial",TMEM11,8831623730,yes,,
P21912,P09,0.554896427195182,0.145943353561134,,,212,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",SDHB,76504489410,yes,Complex II,
P40926;P40926-2,P09,0.554622758521696,0.122105686703931,,,285,"Malate dehydrogenase, mitochondrial",MDH2,1829189482590,yes,,
O75208,P09,0.553803527568907,0.093526828370367,,,175,"Ubiquinone biosynthesis protein COQ9, mitochondrial",COQ9,7945223530,yes,,
P49189;P49189-2,P09,0.553672630546052,0.085784416785548,,,235,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,120568977470,yes,,
O43676,P09,0.553364486731804,0.121478970242229,,,157,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,NDUFB3,15427495565,yes,Complex I,
P06746,P09,0.553293541862654,0.070158420448156,,,119,DNA polymerase beta,POLB,3646084350,yes,,
P18859;P18859-2,P09,0.552785540502472,0.059646586586449,Positive,Used,163,"ATP synthase-coupling factor 6, mitochondrial",ATP5J,32826651610,yes,ATP synthase,
Q9HBL7,P09,0.550449314372926,0.123937454808352,,,117,Plasminogen receptor (KT),PLGRKT,4630450046,yes,,
O95167,P09,0.548802383137443,0.090057319067858,,,107,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3,NDUFA3,6424066500,yes,Complex I,
Q9H7Z7,P09,0.54852712517803,0.11275338200049,,,194,Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form,PTGES2,47748918910,yes,,
Q9BPW8,P09,0.547645776414081,0.129804578325174,,,246,Protein NipSnap homolog 1,NIPSNAP1,82583913144,yes,Uncharacterised,
P14854,P09,0.54731244400617,0.085256136449713,,,161,Cytochrome c oxidase subunit 6B1,COX6B1,28103258677,yes,Complex IV,
Q9Y6M9,P09,0.546854028810392,0.122801834657199,,,211,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9,NDUFB9,57653127790,yes,Complex I,
P07919,P09,0.545743693833093,0.076580409264191,,,122,"Cytochrome b-c1 complex subunit 6, mitochondrial",UQCRH,16817126650,yes,Complex III,
P49590;P49590-2,P09,0.545384749356538,0.128889473372094,,,153,"Probable histidine--tRNA ligase, mitochondrial",HARS2,6563177350,yes,,
Q9P0S9,P09,0.543714088922862,0.138847708016583,,,116,Transmembrane protein 14C,TMEM14C,23590886150,yes,,
P38117,P09,0.543000932799659,0.141435752440901,,,280,Electron transfer flavoprotein subunit beta,ETFB,264839631350,yes,,
P40616;P40616-2,P09,0.542998755449803,0.075418559515103,,,232,ADP-ribosylation factor-like protein 1,ARL1,53838328790,yes,,
Q9UI09,P09,0.542664546955444,0.124021881776784,,,172,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,NDUFA12,28071721452,yes,Complex I,
Q86SZ2;Q86SZ2-2,P09,0.542645667761367,0.086141373710824,,,143,Trafficking protein particle complex subunit 6B,TRAPPC6B,8069321370,yes,,
Q5TGZ0,P09,0.541922448838475,0.061000932317742,,,123,MICOS complex subunit MIC10,MINOS1,9465771960,yes,,
O94905,P09,0.540769896033524,0.092187411750836,,,241,Erlin-2,ERLIN2,82781046630,yes,,
Q96AQ8,P09,0.539831194080034,0.07226029546017,,,99,Mitochondrial calcium uniporter regulator 1,MCUR1,2320183860,yes,,
Q9Y512,P09,0.539737253805774,0.11408803423214,,,231,Sorting and assembly machinery component 50 homolog,SAMM50,41973536810,yes,,
Q9P0U1,P09,0.538888696666139,0.051621961925379,,,102,Mitochondrial import receptor subunit TOM7 homolog,TOMM7,4933583000,yes,,
P23368;P23368-2,P09,0.538650115745911,0.095929786944503,,,217,"NAD-dependent malic enzyme, mitochondrial",ME2,112887053600,yes,,
P54619-2;P54619,P09,0.538422438838506,0.087595310503478,,,230,5-AMP-activated protein kinase subunit gamma-1,PRKAG1,20662459420,yes,,
Q9Y3A6;Q9Y3A6-2,P09,0.537818480801096,0.064479230245731,,,160,Transmembrane emp24 domain-containing protein 5,TMED5,25382467060,yes,,
P49257,P09,0.537622785008619,0.097008527897075,,,266,Protein ERGIC-53,LMAN1,129787251330,yes,,
Q9Y394;Q9Y394-2,P09,0.537532116202512,0.125537486930649,,,212,Dehydrogenase/reductase SDR family member 7,DHRS7,36303211847,yes,,
Q14213,P09,0.537206511495484,0.112678222867386,,,68,Interleukin-27 subunit beta,EBI3,1230630600,yes,,
Q9P0I2;Q9P0I2-2,P09,0.537183318153523,0.078338652408036,,,161,ER membrane protein complex subunit 3,EMC3,13528470419,yes,,
P24752,P09,0.537115963153746,0.086103494690092,,,270,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,340174506440,yes,FAO,
Q9Y3B3;Q86XR7-2;Q9Y3B3-2,P09,0.53646865685301,0.112598680645208,,,195,Transmembrane emp24 domain-containing protein 7,TMED7,87298325170,yes,,
Q9H6K4,P09,0.535945436556239,0.055538380164691,,,108,Optic atrophy 3 protein,OPA3,1875847600,yes,,
Q8N766-2;Q8N766;Q8N766-3,P09,0.535234781970295,0.093264194755354,,,244,ER membrane protein complex subunit 1,EMC1,78175351850,yes,,
Q16854;Q16854-2;Q16854-3;Q16854-5,P09,0.535230565052534,0.126896056874736,,,106,"Deoxyguanosine kinase, mitochondrial",DGUOK,2731985990,yes,,
P42765,P09,0.53446886555907,0.12197672586663,,,264,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,214106481030,yes,FAO,
P49411,P09,0.533940298156429,0.075729814024581,,,286,"Elongation factor Tu, mitochondrial",TUFM,1323755467730,yes,,
P13804;P13804-2,P09,0.53349145067526,0.138276289810585,,,271,"Electron transfer flavoprotein subunit alpha, mitochondrial",ETFA,431179051150,yes,,
Q9NVH1;Q9NVH1-2,P09,0.532951285471632,0.11111483287294,,,195,DnaJ homolog subfamily C member 11,DNAJC11,22883237320,yes,,
Q16595,P09,0.532275829288182,0.122504689674741,,,156,"Frataxin, mitochondrial;Frataxin intermediate form;Frataxin(56-210);Frataxin(78-210);Frataxin mature form",FXN,5339380160,yes,,
P99999,P09,0.531842447462056,0.120538068524285,,,239,Cytochrome c,CYCS,317108121330,yes,,
Q9NVH6-7;Q9NVH6;Q9NVH6-8;Q9NVH6-5;Q9NVH6-6;Q9NVH6-4,P09,0.531562096955253,0.121994119330247,,,107,"Trimethyllysine dioxygenase, mitochondrial",TMLHE,1508851190,yes,,
Q14699,P09,0.529765559072434,0.110503759227093,,,136,Raftlin,RFTN1,13677453078,yes,,
P50336,P09,0.529719235786272,0.07844882174027,,,154,Protoporphyrinogen oxidase,PPOX,8338490889,yes,,
Q99643,P09,0.529105775475904,0.118452850883816,,,142,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",SDHC,12780996780,yes,Complex II,
O75608;O75608-2,P09,0.528407417558385,0.114526035408485,,,223,Acyl-protein thioesterase 1,LYPLA1,75729378860,yes,,
Q9NSE4,P09,0.528219629852671,0.149522288311039,,,252,"Isoleucine--tRNA ligase, mitochondrial",IARS2,154508606750,yes,,
Q9NZJ6,P09,0.527916945289146,0.1331955526374,,,100,"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial",COQ3,741068060,yes,,
P30042;P30042-2,P09,0.527137285568552,0.138191729674096,,,242,"ES1 protein homolog, mitochondrial",C21orf33,77664457900,yes,,
Q9H2K0,P09,0.526938118108079,0.093286517688866,,,100,"Translation initiation factor IF-3, mitochondrial",MTIF3,1278105460,yes,,
Q9BX68,P09,0.526806136209664,0.076007604709979,,,216,"Histidine triad nucleotide-binding protein 2, mitochondrial",HINT2,71105840650,yes,,
P49641;P49641-1;P49641-2,P09,0.5267615618179,0.093497649509827,,,72,Alpha-mannosidase 2x,MAN2A2,610880868,yes,,
P51970,P09,0.526619969003068,0.125172388532919,,,209,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,NDUFA8,55952518119,yes,Complex I,
O43181,P09,0.525872217728895,0.117541124707928,,,168,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",NDUFS4,12812466160,yes,Complex I,
Q9H061;Q9H061-2,P09,0.525292320918243,0.112759562313084,,,170,Transmembrane protein 126A,TMEM126A,16020739570,yes,,
P00414,P09,0.52524318330056,0.056146140315607,,,103,Cytochrome c oxidase subunit 3,MT-CO3,1314481980,yes,Complex IV,
Q8WUD1;Q8WUD1-2,P09,0.525241828357284,0.109264948862506,,,132,Ras-related protein Rab-2B,RAB2B,2576472970,yes,,
Q96B49,P09,0.525086891257179,0.063450244018737,,,87,Mitochondrial import receptor subunit TOM6 homolog,TOMM6,819801590,yes,,
P10155;P10155-3;P10155-5;P10155-4,P09,0.524440947524765,0.101641371437882,,,264,60 kDa SS-A/Ro ribonucleoprotein,TROVE2,88229907318,yes,,
Q8N4T8;Q8N4T8-2,P09,0.523391370077879,0.128411067628451,,,113,Carbonyl reductase family member 4,CBR4,1460690320,yes,,
Q15436;Q15436-2,P09,0.523114639018217,0.093914707997602,,,286,Protein transport protein Sec23A,SEC23A,309627529820,yes,,
Q9NVJ2;Q9NVJ2-2,P09,0.522872222823295,0.119570056161132,,,224,ADP-ribosylation factor-like protein 8B,ARL8B,66659363700,yes,,
P56556,P09,0.522505595656372,0.078928225703253,,,203,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,NDUFA6,40918600750,yes,Complex I,
O15155;O15155-2,P09,0.52244064530293,0.071577659281505,,,118,BET1 homolog,BET1,7467020530,yes,,
Q9BV81,P09,0.521894421916892,0.090913955714622,,,115,ER membrane protein complex subunit 6,EMC6,3314268810,yes,,
Q96Q05-3,P09,0.521288649425814,0.073758978459965,,,113,Trafficking protein particle complex subunit 9,TRAPPC9,1111673279,yes,,
O75306;O75306-2,P09,0.521161862900408,0.110515344922017,,,224,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial",NDUFS2,91738956940,yes,Complex I,
Q92759,P09,0.520091815885179,0.080691083271721,,,135,General transcription factor IIH subunit 4,GTF2H4,3755332260,yes,,
O95178,P09,0.520068158008889,0.141012902135981,,,85,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial",NDUFB2,518216170,yes,Complex I,
Q9UHQ9,P09,0.519946286682352,0.082496394937069,,,199,NADH-cytochrome b5 reductase 1,CYB5R1,37441093401,yes,,
Q92506,P09,0.51961739814463,0.136389633216536,,,115,Estradiol 17-beta-dehydrogenase 8,HSD17B8,2472930430,yes,,
Q9NP81;Q9NP81-2,P09,0.519325720875906,0.104255816900354,,,197,"Serine--tRNA ligase, mitochondrial",SARS2,34820303460,yes,,
