Entry	Entry name	Protein names
P17174	AATC_HUMAN	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)
Q9NY61	AATF_HUMAN	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)
P00505	AATM_HUMAN	Aspartate aminotransferase, mitochondrial (mAspAT) (EC 2.6.1.1) (EC 2.6.1.7) (Fatty acid-binding protein) (FABP-1) (Glutamate oxaloacetate transaminase 2) (Kynurenine aminotransferase 4) (Kynurenine aminotransferase IV) (Kynurenine--oxoglutarate transaminase 4) (Kynurenine--oxoglutarate transaminase IV) (Plasma membrane-associated fatty acid-binding protein) (FABPpm) (Transaminase A)
Q5VST6	AB17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B (Abhydrolase domain-containing protein 17B) (EC 3.1.2.22)
Q9UH17	ABC3B_HUMAN	DNA dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.-) (Phorbolin-1-related protein) (Phorbolin-2/3)
Q9NRW3	ABC3C_HUMAN	DNA dC->dU-editing enzyme APOBEC-3C (A3C) (EC 3.5.4.-) (APOBEC1-like) (Phorbolin I)
Q8IUX4	ABC3F_HUMAN	DNA dC->dU-editing enzyme APOBEC-3F (EC 3.5.4.-) (Apolipoprotein B mRNA-editing enzyme catalytic polypeptide-like 3F) (A3F)
Q9BZC7	ABCA2_HUMAN	ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2)
Q86UK0	ABCAC_HUMAN	ATP-binding cassette sub-family A member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12)
Q9NP58	ABCB6_HUMAN	ATP-binding cassette sub-family B member 6, mitochondrial (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter)
O75027	ABCB7_HUMAN	ATP-binding cassette sub-family B member 7, mitochondrial (ATP-binding cassette transporter 7) (ABC transporter 7 protein)
Q9NUT2	ABCB8_HUMAN	ATP-binding cassette sub-family B member 8, mitochondrial (Mitochondrial ATP-binding cassette 1) (M-ABC1)
Q9NRK6	ABCBA_HUMAN	ATP-binding cassette sub-family B member 10, mitochondrial (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)
P33897	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1 (Adrenoleukodystrophy protein) (ALDP)
P28288	ABCD3_HUMAN	ATP-binding cassette sub-family D member 3 (70 kDa peroxisomal membrane protein) (PMP70)
P61221	ABCE1_HUMAN	ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)
Q8NE71	ABCF1_HUMAN	ATP-binding cassette sub-family F member 1 (ATP-binding cassette 50) (TNF-alpha-stimulated ABC protein)
Q9UG63	ABCF2_HUMAN	ATP-binding cassette sub-family F member 2 (Iron-inhibited ABC transporter 2)
Q9NUQ8	ABCF3_HUMAN	ATP-binding cassette sub-family F member 3
Q8N2K0	ABD12_HUMAN	Monoacylglycerol lipase ABHD12 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 12)
Q8TB40	ABHD4_HUMAN	Protein ABHD4 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 4) (Abhydrolase domain-containing protein 4) (Alpha/beta-hydrolase 4) (Lyso-N-acylphosphatidylethanolamine lipase)
Q8WTS1	ABHD5_HUMAN	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58)
Q9BV23	ABHD6_HUMAN	Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6)
Q9NUJ1	ABHDA_HUMAN	Mycophenolic acid acyl-glucuronide esterase, mitochondrial (EC 3.1.1.93) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10)
Q8NFV4	ABHDB_HUMAN	Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)
Q96IU4	ABHEB_HUMAN	Protein ABHD14B (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 14B) (Abhydrolase domain-containing protein 14B) (CCG1-interacting factor B)
O95870	ABHGA_HUMAN	Protein ABHD16A (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5) (Protein G5)
Q8IZP0	ABI1_HUMAN	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)
Q9NYB9	ABI2_HUMAN	Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1)
P00519	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)
P42684	ABL2_HUMAN	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)
O14639	ABLM1_HUMAN	Actin-binding LIM protein 1 (abLIM-1) (Actin-binding LIM protein family member 1) (Actin-binding double zinc finger protein) (LIMAB1) (Limatin)
Q9P1F3	ABRAL_HUMAN	Costars family protein ABRACL (ABRA C-terminal-like protein)
Q12979	ABR_HUMAN	Active breakpoint cluster region-related protein
Q9ULW3	ABT1_HUMAN	Activator of basal transcription 1 (hABT1) (Basal transcriptional activator)
Q8N961	ABTB2_HUMAN	Ankyrin repeat and BTB/POZ domain-containing protein 2
Q13085	ACACA_HUMAN	Acetyl-CoA carboxylase 1 (ACC1) (EC 6.4.1.2) (ACC-alpha) [Includes: Biotin carboxylase (EC 6.3.4.14)]
O00763	ACACB_HUMAN	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]
Q9UKU7	ACAD8_HUMAN	Isobutyryl-CoA dehydrogenase, mitochondrial (EC 1.3.99.-) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)
Q9H845	ACAD9_HUMAN	Acyl-CoA dehydrogenase family member 9, mitochondrial (ACAD-9) (EC 1.3.99.-)
P11310	ACADM_HUMAN	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)
P16219	ACADS_HUMAN	Short-chain specific acyl-CoA dehydrogenase, mitochondrial (SCAD) (EC 1.3.8.1) (Butyryl-CoA dehydrogenase)
P49748	ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial (VLCAD) (EC 1.3.8.9)
Q15057	ACAP2_HUMAN	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 (Centaurin-beta-2) (Cnt-b2)
O00400	ACATN_HUMAN	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)
Q5T8D3	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5
Q9BR61	ACBD6_HUMAN	Acyl-CoA-binding domain-containing protein 6
P07108	ACBP_HUMAN	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)
Q6JQN1	ACD10_HUMAN	Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-)
Q709F0	ACD11_HUMAN	Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.99.-)
P45954	ACDSB_HUMAN	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)
P12821	ACE_HUMAN	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]
Q9UKV3	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus (Acinus)
O96019	ACL6A_HUMAN	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)
P53396	ACLY_HUMAN	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)
Q8WXI4	ACO11_HUMAN	Acyl-coenzyme A thioesterase 11 (Acyl-CoA thioesterase 11) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 11) (Adipose-associated thioesterase) (Brown fat-inducible thioesterase) (BFIT)
Q9NPJ3	ACO13_HUMAN	Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Thioesterase superfamily member 2) [Cleaved into: Acyl-coenzyme A thioesterase 13, N-terminally processed]
P21399	ACOC_HUMAN	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)
O00767	ACOD_HUMAN	Acyl-CoA desaturase (EC 1.14.19.1) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase) (Stearoyl-CoA desaturase) (hSCD1)
Q99798	ACON_HUMAN	Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)
Q86TX2	ACOT1_HUMAN	Acyl-coenzyme A thioesterase 1 (Acyl-CoA thioesterase 1) (EC 3.1.2.2) (CTE-I) (CTE-Ib) (Inducible cytosolic acyl-coenzyme A thioester hydrolase) (Long chain acyl-CoA thioester hydrolase) (Long chain acyl-CoA hydrolase)
P49753	ACOT2_HUMAN	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)
O14734	ACOT8_HUMAN	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.27) (Choloyl-coenzyme A thioesterase) (HIV-Nef-associated acyl-CoA thioesterase) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1) (Thioesterase II) (hACTE-III) (hACTEIII) (hTE)
Q9Y305	ACOT9_HUMAN	Acyl-coenzyme A thioesterase 9, mitochondrial (Acyl-CoA thioesterase 9) (EC 3.1.2.-) (Acyl-CoA thioester hydrolase 9)
Q15067	ACOX1_HUMAN	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) (Straight-chain acyl-CoA oxidase) (SCOX)
O15254	ACOX3_HUMAN	Peroxisomal acyl-coenzyme A oxidase 3 (EC 1.3.3.6) (Branched-chain acyl-CoA oxidase) (BRCACox) (Pristanoyl-CoA oxidase)
P13798	ACPH_HUMAN	Acylamino-acid-releasing enzyme (AARE) (EC 3.4.19.1) (Acyl-peptide hydrolase) (APH) (Acylaminoacyl-peptidase) (Oxidized protein hydrolase) (OPH)
O14561	ACPM_HUMAN	Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)
Q9NUB1	ACS2L_HUMAN	Acetyl-coenzyme A synthetase 2-like, mitochondrial (EC 6.2.1.1) (Acetate--CoA ligase 2) (Acetyl-CoA synthetase 2) (AceCS2) (Acyl-CoA synthetase short-chain family member 1)
Q9NR19	ACSA_HUMAN	Acetyl-coenzyme A synthetase, cytoplasmic (EC 6.2.1.1) (Acetate--CoA ligase) (Acetyl-CoA synthetase) (ACS) (AceCS) (Acyl-CoA synthetase short-chain family member 2) (Acyl-activating enzyme)
Q96CM8	ACSF2_HUMAN	Acyl-CoA synthetase family member 2, mitochondrial (EC 6.2.1.-)
Q4G176	ACSF3_HUMAN	Acyl-CoA synthetase family member 3, mitochondrial (EC 6.2.1.-)
P33121	ACSL1_HUMAN	Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Acyl-CoA synthetase 1) (ACS1) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain acyl-CoA synthetase 2) (LACS 2) (Long-chain fatty acid-CoA ligase 2) (Palmitoyl-CoA ligase 1) (Palmitoyl-CoA ligase 2)
O95573	ACSL3_HUMAN	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 3) (LACS 3)
O60488	ACSL4_HUMAN	Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 4) (LACS 4)
Q9ULC5	ACSL5_HUMAN	Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 5) (LACS 5)
Q9H6R3	ACSS3_HUMAN	Acyl-CoA synthetase short-chain family member 3, mitochondrial (EC 6.2.1.1) (Acyl-CoA synthetase short-chain family member 3)
P62736	ACTA_HUMAN	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]
P60709	ACTB_HUMAN	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]
P12814	ACTN1_HUMAN	Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1)
O43707	ACTN4_HUMAN	Alpha-actinin-4 (Non-muscle alpha-actinin 4)
P42025	ACTY_HUMAN	Beta-centractin (Actin-related protein 1B) (ARP1B)
P61163	ACTZ_HUMAN	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)
Q04771	ACVR1_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)
Q03154	ACY1_HUMAN	Aminoacylase-1 (ACY-1) (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase)
P07311	ACYP1_HUMAN	Acylphosphatase-1 (EC 3.6.1.7) (Acylphosphatase, erythrocyte isozyme) (Acylphosphatase, organ-common type isozyme) (Acylphosphate phosphohydrolase 1)
P14621	ACYP2_HUMAN	Acylphosphatase-2 (EC 3.6.1.7) (Acylphosphatase, muscle type isozyme) (Acylphosphate phosphohydrolase 2)
O14672	ADA10_HUMAN	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)
Q13444	ADA15_HUMAN	Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)
P78536	ADA17_HUMAN	Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (Snake venom-like protease) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b)
P00813	ADA_HUMAN	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)
Q13443	ADAM9_HUMAN	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)
O75689	ADAP1_HUMAN	Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)
O00116	ADAS_HUMAN	Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)
Q9BUB4	ADAT1_HUMAN	tRNA-specific adenosine deaminase 1 (hADAT1) (EC 3.5.4.34) (tRNA-specific adenosine-37 deaminase)
Q86TW2	ADCK1_HUMAN	Uncharacterized aarF domain-containing protein kinase 1 (EC 2.7.11.-)
Q8NI60	COQ8A_HUMAN	Atypical kinase COQ8A, mitochondrial (EC 2.7.-.-) (Chaperone activity of bc1 complex-like) (Chaperone-ABC1-like) (Coenzyme Q protein 8A) (aarF domain-containing protein kinase 3)
Q96D53	COQ8B_HUMAN	Atypical kinase COQ8B, mitochondrial (EC 2.7.-.-) (AarF domain-containing protein kinase 4) (Coenzyme Q protein 8B)
Q3MIX3	ADCK5_HUMAN	Uncharacterized aarF domain-containing protein kinase 5 (EC 2.7.11.-)
O43306	ADCY6_HUMAN	Adenylate cyclase type 6 (EC 4.6.1.1) (ATP pyrophosphate-lyase 6) (Adenylate cyclase type VI) (Adenylyl cyclase 6) (Ca(2+)-inhibitable adenylyl cyclase)
O60503	ADCY9_HUMAN	Adenylate cyclase type 9 (EC 4.6.1.1) (ATP pyrophosphate-lyase 9) (Adenylate cyclase type IX) (ACIX) (Adenylyl cyclase 9) (AC9)
P35611	ADDA_HUMAN	Alpha-adducin (Erythrocyte adducin subunit alpha)
Q9UEY8	ADDG_HUMAN	Gamma-adducin (Adducin-like protein 70)
