Majority.protein.IDs,Mean RF score,St Dev of score,Feature_count,Used_for_positive_training,Training_label,Protein.names,Gene.names,Summed_intensities,Fasta.headers
Q9Y2K7;Q9Y2K7-3,0.95014481019791,0.0371761879727859,11,"","",Lysine-specific demethylase 2A,KDM2A,23644662260,>sp|Q9Y2K7|KDM2A_HUMAN Lysine-specific demethylase 2A OS=Homo sapiens GN=KDM2A PE=1 SV=3;>sp|Q9Y2K7-3|KDM2A_HUMAN Isoform 3 of Lysine-specific demethylase 2A OS=Homo sapiens GN=KDM2A
Q6P5R6,0.950015949189547,0.0284690200692352,8,"","",60S ribosomal protein L22-like 1,RPL22L1,35877313900,>sp|Q6P5R6|RL22L_HUMAN 60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2
Q8WVB6;Q8WVB6-2;Q8WVB6-3,0.947327022360482,0.041032056096134,9,Used,Positive,Chromosome transmission fidelity protein 18 homolog,CHTF18,12490608249,>sp|Q8WVB6|CTF18_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens GN=CHTF18 PE=1 SV=1;>sp|Q8WVB6-2|CTF18_HUMAN Isoform 2 of Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens GN=CHTF18;>sp|Q8WVB6-3|CTF18_HUMAN Isof
P33991,0.944359337053041,0.0264105038759715,14,Used,Positive,DNA replication licensing factor MCM4,MCM4,415957463660,>sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5
P04183,0.942113303963228,0.0308546735976167,8,"","","Thymidine kinase, cytosolic",TK1,23353957010,">sp|P04183|KITH_HUMAN Thymidine kinase, cytosolic OS=Homo sapiens GN=TK1 PE=1 SV=2"
P49642,0.941340582761993,0.0424119732494666,9,Used,Positive,DNA primase small subunit,PRIM1,15320115937,>sp|P49642|PRI1_HUMAN DNA primase small subunit OS=Homo sapiens GN=PRIM1 PE=1 SV=1
Q71SY5-4,0.939286838974906,0.0346807401341837,8,"","",Mediator of RNA polymerase II transcription subunit 25,MED25,1776157830,>sp|Q71SY5-4|MED25_HUMAN Isoform 4 of Mediator of RNA polymerase II transcription subunit 25 OS=Homo sapiens GN=MED25
P33316-2,0.937348881262655,0.0518239048120081,11,"","","Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial",DUT,137804608619,">sp|P33316-2|DUT_HUMAN Isoform 2 of Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT"
Q9BVS4;Q9BVS4-2,0.93378696886853,0.0586343101350431,8,"","",Serine/threonine-protein kinase RIO2,RIOK2,1889117090,>sp|Q9BVS4|RIOK2_HUMAN Serine/threonine-protein kinase RIO2 OS=Homo sapiens GN=RIOK2 PE=1 SV=2;>sp|Q9BVS4-2|RIOK2_HUMAN Isoform 2 of Serine/threonine-protein kinase RIO2 OS=Homo sapiens GN=RIOK2
P18858;P18858-2,0.932751119742162,0.0520221110664862,10,Used,Positive,DNA ligase 1,LIG1,63875864410,>sp|P18858|DNLI1_HUMAN DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1;>sp|P18858-2|DNLI1_HUMAN Isoform 2 of DNA ligase 1 OS=Homo sapiens GN=LIG1
Q9ULX3,0.932724367398752,0.0447290320773677,8,"","",RNA-binding protein NOB1,NOB1,10418511640,>sp|Q9ULX3|NOB1_HUMAN RNA-binding protein NOB1 OS=Homo sapiens GN=NOB1 PE=1 SV=1
Q9Y248,0.92986376355052,0.0406094369599057,7,Used,Positive,DNA replication complex GINS protein PSF2,GINS2,5113458120,>sp|Q9Y248|PSF2_HUMAN DNA replication complex GINS protein PSF2 OS=Homo sapiens GN=GINS2 PE=1 SV=1
O15270,0.928391307657852,0.0390091761310724,8,"","",Serine palmitoyltransferase 2,SPTLC2,79731403730,>sp|O15270|SPTC2_HUMAN Serine palmitoyltransferase 2 OS=Homo sapiens GN=SPTLC2 PE=1 SV=1
Q8NBT2;Q8NBT2-2,0.926061786489187,0.0370932598064001,9,"","",Kinetochore protein Spc24,SPC24,13360131550,>sp|Q8NBT2|SPC24_HUMAN Kinetochore protein Spc24 OS=Homo sapiens GN=SPC24 PE=1 SV=2;>sp|Q8NBT2-2|SPC24_HUMAN Isoform 2 of Kinetochore protein Spc24 OS=Homo sapiens GN=SPC24
P33993;P33993-3,0.926002407555805,0.0384851956647371,14,Used,Positive,DNA replication licensing factor MCM7,MCM7,440089396000,>sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7 PE=1 SV=4;>sp|P33993-3|MCM7_HUMAN Isoform 3 of DNA replication licensing factor MCM7 OS=Homo sapiens GN=MCM7
Q9NSP4;Q9NSP4-4,0.925886075707229,0.0441296596038171,7,"","",Centromere protein M,CENPM,553433850,>sp|Q9NSP4|CENPM_HUMAN Centromere protein M OS=Homo sapiens GN=CENPM PE=1 SV=1;>sp|Q9NSP4-4|CENPM_HUMAN Isoform 4 of Centromere protein M OS=Homo sapiens GN=CENPM
O75419-2;O75419;O75419-3,0.925328182661219,0.0393700649673989,6,"",Positive,Cell division control protein 45 homolog,CDC45,3417139575,>sp|O75419-2|CDC45_HUMAN Isoform 2 of Cell division control protein 45 homolog OS=Homo sapiens GN=CDC45;>sp|O75419|CDC45_HUMAN Cell division control protein 45 homolog OS=Homo sapiens GN=CDC45 PE=1 SV=1;>sp|O75419-3|CDC45_HUMAN Isoform 3 of Cell division c
Q9NVI1;Q9NVI1-1;Q9NVI1-2,0.925313491418127,0.0408813213788525,11,"","",Fanconi anemia group I protein,FANCI,180568551510,>sp|Q9NVI1|FANCI_HUMAN Fanconi anemia group I protein OS=Homo sapiens GN=FANCI PE=1 SV=4;>sp|Q9NVI1-1|FANCI_HUMAN Isoform 1 of Fanconi anemia group I protein OS=Homo sapiens GN=FANCI;>sp|Q9NVI1-2|FANCI_HUMAN Isoform 2 of Fanconi anemia group I protein OS=H
Q9BY77,0.925005009008034,0.0506150641913437,13,"","",Polymerase delta-interacting protein 3,POLDIP3,22825868095,>sp|Q9BY77|PDIP3_HUMAN Polymerase delta-interacting protein 3 OS=Homo sapiens GN=POLDIP3 PE=1 SV=2
P49321,0.919523937813758,0.0769587469883384,11,"","",Nuclear autoantigenic sperm protein,NASP,412333768800,>sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2
Q96RU2-2;Q96RU2;Q96RU2-3,0.919095154288683,0.0503079871434535,8,"","",Ubiquitin carboxyl-terminal hydrolase 28,USP28,1794753075,>sp|Q96RU2-2|UBP28_HUMAN Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 28 OS=Homo sapiens GN=USP28;>sp|Q96RU2|UBP28_HUMAN Ubiquitin carboxyl-terminal hydrolase 28 OS=Homo sapiens GN=USP28 PE=1 SV=1;>sp|Q96RU2-3|UBP28_HUMAN Isoform 3 of Ubiquitin carbo
Q9Y605,0.917197901838716,0.0679641465496457,7,"","",MORF4 family-associated protein 1,MRFAP1,2591447360,>sp|Q9Y605|MOFA1_HUMAN MORF4 family-associated protein 1 OS=Homo sapiens GN=MRFAP1 PE=1 SV=1
Q96GA3,0.914301139807564,0.0436456630468808,7,"","",Protein LTV1 homolog,LTV1,4120493830,>sp|Q96GA3|LTV1_HUMAN Protein LTV1 homolog OS=Homo sapiens GN=LTV1 PE=1 SV=1
Q15003;Q15003-2,0.914040292629715,0.047834257673323,11,"","",Condensin complex subunit 2,NCAPH,24705805320,>sp|Q15003|CND2_HUMAN Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH PE=1 SV=3;>sp|Q15003-2|CND2_HUMAN Isoform 2 of Condensin complex subunit 2 OS=Homo sapiens GN=NCAPH
Q9NRF9,0.91152235982321,0.0549638681620506,9,Used,Positive,DNA polymerase epsilon subunit 3,POLE3,17662710774,>sp|Q9NRF9|DPOE3_HUMAN DNA polymerase epsilon subunit 3 OS=Homo sapiens GN=POLE3 PE=1 SV=1
P40222,0.90397557303427,0.0606668994429496,12,"","",Alpha-taxilin,TXLNA,36405791350,>sp|P40222|TXLNA_HUMAN Alpha-taxilin OS=Homo sapiens GN=TXLNA PE=1 SV=3
Q9NS87;Q9NS87-2;Q9NS87-4,0.903791283686462,0.0447260040878243,7,"","",Kinesin-like protein KIF15,KIF15,2768798760,>sp|Q9NS87|KIF15_HUMAN Kinesin-like protein KIF15 OS=Homo sapiens GN=KIF15 PE=1 SV=1;>sp|Q9NS87-2|KIF15_HUMAN Isoform 2 of Kinesin-like protein KIF15 OS=Homo sapiens GN=KIF15;>sp|Q9NS87-4|KIF15_HUMAN Isoform 4 of Kinesin-like protein KIF15 OS=Homo sapiens
P46013,0.903107656845927,0.0553550840640044,12,"","",Antigen KI-67,MKI67,495392376200,>sp|P46013|KI67_HUMAN Antigen KI-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2
P42695,0.901845124539442,0.0701683780458594,10,"","",Condensin-2 complex subunit D3,NCAPD3,13287779595,>sp|P42695|CNDD3_HUMAN Condensin-2 complex subunit D3 OS=Homo sapiens GN=NCAPD3 PE=1 SV=2
Q9NVP2,0.900570056502341,0.0620522784398157,9,"","",Histone chaperone ASF1B,ASF1B,8869433330,>sp|Q9NVP2|ASF1B_HUMAN Histone chaperone ASF1B OS=Homo sapiens GN=ASF1B PE=1 SV=1
Q8NEZ5;Q8NEZ5-3,0.898314427600203,0.0543204454074935,10,"","",F-box only protein 22,FBXO22,14767744083,>sp|Q8NEZ5|FBX22_HUMAN F-box only protein 22 OS=Homo sapiens GN=FBXO22 PE=1 SV=1;>sp|Q8NEZ5-3|FBX22_HUMAN Isoform 3 of F-box only protein 22 OS=Homo sapiens GN=FBXO22
Q02548-7;Q02548-6;Q02548-2;Q02548;Q02548-5;Q02548-4;Q02548-11;Q02548-9;Q02548-3;Q02548-8;Q02548-10,0.897878046389091,0.0409117686195273,6,"","",Paired box protein Pax-5,PAX5,150454890,>sp|Q02548-7|PAX5_HUMAN Isoform 7 of Paired box protein Pax-5 OS=Homo sapiens GN=PAX5;>sp|Q02548-6|PAX5_HUMAN Isoform 6 of Paired box protein Pax-5 OS=Homo sapiens GN=PAX5;>sp|Q02548-2|PAX5_HUMAN Isoform 2 of Paired box protein Pax-5 OS=Homo sapiens GN=PAX
Q9NSV4;Q9NSV4-6;Q9NSV4-4;Q9NSV4-5;Q9NSV4-7,0.894846529874046,0.0819240094353628,8,"","",Protein diaphanous homolog 3,DIAPH3,2822760700,>sp|Q9NSV4|DIAP3_HUMAN Protein diaphanous homolog 3 OS=Homo sapiens GN=DIAPH3 PE=1 SV=4;>sp|Q9NSV4-6|DIAP3_HUMAN Isoform 6 of Protein diaphanous homolog 3 OS=Homo sapiens GN=DIAPH3;>sp|Q9NSV4-4|DIAP3_HUMAN Isoform 4 of Protein diaphanous homolog 3 OS=Homo
Q96KB5;Q96KB5-2,0.894652501236266,0.0649847732685799,9,"","",Lymphokine-activated killer T-cell-originated protein kinase,PBK,23701960330,>sp|Q96KB5|TOPK_HUMAN Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens GN=PBK PE=1 SV=3;>sp|Q96KB5-2|TOPK_HUMAN Isoform 2 of Lymphokine-activated killer T-cell-originated protein kinase OS=Homo sapiens GN=PBK
Q8TCG1;Q8TCG1-2,0.893111877793577,0.0626009481788346,8,"","",Protein CIP2A,KIAA1524,5849590980,>sp|Q8TCG1|CIP2A_HUMAN Protein CIP2A OS=Homo sapiens GN=KIAA1524 PE=1 SV=2;>sp|Q8TCG1-2|CIP2A_HUMAN Isoform 2 of Protein CIP2A OS=Homo sapiens GN=KIAA1524
Q9UKI8;Q9UKI8-2;Q9UKI8-5;Q9UKI8-4;Q9UKI8-3,0.893011657468411,0.0520577427022662,7,"","",Serine/threonine-protein kinase tousled-like 1,TLK1,880419672,>sp|Q9UKI8|TLK1_HUMAN Serine/threonine-protein kinase tousled-like 1 OS=Homo sapiens GN=TLK1 PE=1 SV=2;>sp|Q9UKI8-2|TLK1_HUMAN Isoform 2 of Serine/threonine-protein kinase tousled-like 1 OS=Homo sapiens GN=TLK1;>sp|Q9UKI8-5|TLK1_HUMAN Isoform 5 of Serine/t
P40937;P40937-2,0.891752268235045,0.056991199445102,10,Used,Positive,Replication factor C subunit 5,RFC5,53386811760,>sp|P40937|RFC5_HUMAN Replication factor C subunit 5 OS=Homo sapiens GN=RFC5 PE=1 SV=1;>sp|P40937-2|RFC5_HUMAN Isoform 2 of Replication factor C subunit 5 OS=Homo sapiens GN=RFC5
O75717;O75717-2,0.891538892054554,0.0646531859077549,10,Used,Positive,WD repeat and HMG-box DNA-binding protein 1,WDHD1,69997458455,>sp|O75717|WDHD1_HUMAN WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1 PE=1 SV=1;>sp|O75717-2|WDHD1_HUMAN Isoform 2 of WD repeat and HMG-box DNA-binding protein 1 OS=Homo sapiens GN=WDHD1
Q53HL2,0.890714133687522,0.0679917267743437,8,"","",Borealin,CDCA8,17102282620,>sp|Q53HL2|BOREA_HUMAN Borealin OS=Homo sapiens GN=CDCA8 PE=1 SV=2
Q9HBM1,0.890438177501119,0.0505645883385716,8,"","",Kinetochore protein Spc25,SPC25,5155263490,>sp|Q9HBM1|SPC25_HUMAN Kinetochore protein Spc25 OS=Homo sapiens GN=SPC25 PE=1 SV=1
P35250;P35250-2,0.889856524209868,0.0727522012756697,11,Used,Positive,Replication factor C subunit 2,RFC2,43363996330,>sp|P35250|RFC2_HUMAN Replication factor C subunit 2 OS=Homo sapiens GN=RFC2 PE=1 SV=3;>sp|P35250-2|RFC2_HUMAN Isoform 2 of Replication factor C subunit 2 OS=Homo sapiens GN=RFC2
Q6ZRQ5,0.88907899826766,0.0357592967280256,7,"","",Protein MMS22-like,MMS22L,6949073950,>sp|Q6ZRQ5|MMS22_HUMAN Protein MMS22-like OS=Homo sapiens GN=MMS22L PE=1 SV=3
Q86XI2;Q86XI2-2,0.885679735393359,0.0795847241563919,10,"","",Condensin-2 complex subunit G2,NCAPG2,12824834100,>sp|Q86XI2|CNDG2_HUMAN Condensin-2 complex subunit G2 OS=Homo sapiens GN=NCAPG2 PE=1 SV=1;>sp|Q86XI2-2|CNDG2_HUMAN Isoform 2 of Condensin-2 complex subunit G2 OS=Homo sapiens GN=NCAPG2
Q9BY44;Q9BY44-3;Q9BY44-4;Q9BY44-2,0.884928031809782,0.0500843087186732,14,"","","Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed",EIF2A,124606338460,>sp|Q9BY44|EIF2A_HUMAN Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A PE=1 SV=3;>sp|Q9BY44-3|EIF2A_HUMAN Isoform 3 of Eukaryotic translation initiation factor 2A OS=Homo sapiens GN=EIF2A;>sp|Q9BY44-4|EIF2A_HUMAN Isoform 4 of Eukaryoti
Q5VT06,0.884071965236564,0.0595428602462681,8,"","",Centrosome-associated protein 350,CEP350,3121479516,>sp|Q5VT06|CE350_HUMAN Centrosome-associated protein 350 OS=Homo sapiens GN=CEP350 PE=1 SV=1
Q5TBB1;Q5TBB1-2,0.884003435927833,0.0592635703785308,11,"","",Ribonuclease H2 subunit B,RNASEH2B,15574497781,>sp|Q5TBB1|RNH2B_HUMAN Ribonuclease H2 subunit B OS=Homo sapiens GN=RNASEH2B PE=1 SV=1;>sp|Q5TBB1-2|RNH2B_HUMAN Isoform 2 of Ribonuclease H2 subunit B OS=Homo sapiens GN=RNASEH2B
Q9HB58-7;Q9HB58-5;Q9HB58-3,0.883648061979951,0.0567296541391402,9,"","","","",1440174990,>sp|Q9HB58-7|SP110_HUMAN Isoform 7 of Sp110 nuclear body protein OS=Homo sapiens GN=SP110;>sp|Q9HB58-5|SP110_HUMAN Isoform 5 of Sp110 nuclear body protein OS=Homo sapiens GN=SP110;>sp|Q9HB58-3|SP110_HUMAN Isoform 3 of Sp110 nuclear body protein OS=Homo sap
Q9BRX5;Q9BRX5-3;Q9BRX5-2,0.881326397764842,0.0645202503231446,9,Used,Positive,DNA replication complex GINS protein PSF3,GINS3,10732076930,>sp|Q9BRX5|PSF3_HUMAN DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3 PE=1 SV=1;>sp|Q9BRX5-3|PSF3_HUMAN Isoform 3 of DNA replication complex GINS protein PSF3 OS=Homo sapiens GN=GINS3;>sp|Q9BRX5-2|PSF3_HUMAN Isoform 2 of DNA replication
Q15758;Q15758-3;Q15758-2,0.881170501382766,0.0460973929839665,12,"","",Neutral amino acid transporter B(0),SLC1A5,78119000385,>sp|Q15758|AAAT_HUMAN Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2;>sp|Q15758-3|AAAT_HUMAN Isoform 3 of Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5;>sp|Q15758-2|AAAT_HUMAN Isoform 2 of Neutral amino acid transpo
O75534;O75534-2;O75534-4;O75534-3,0.880990969434174,0.0830556902016928,15,"","",Cold shock domain-containing protein E1,CSDE1,227416584700,>sp|O75534|CSDE1_HUMAN Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1 PE=1 SV=2;>sp|O75534-2|CSDE1_HUMAN Isoform 2 of Cold shock domain-containing protein E1 OS=Homo sapiens GN=CSDE1;>sp|O75534-4|CSDE1_HUMAN Isoform 4 of Cold shock domain
Q92673,0.879567272672826,0.060472939841513,8,"","",Sortilin-related receptor,SORL1,2519477480,>sp|Q92673|SORL_HUMAN Sortilin-related receptor OS=Homo sapiens GN=SORL1 PE=1 SV=2
Q14691,0.879329634540261,0.0688277063812387,9,Used,Positive,DNA replication complex GINS protein PSF1,GINS1,2148294190,>sp|Q14691|PSF1_HUMAN DNA replication complex GINS protein PSF1 OS=Homo sapiens GN=GINS1 PE=1 SV=1
O15381;O15381-2;O15381-5;O15381-4,0.878100598974663,0.0651370271535781,11,"","",Nuclear valosin-containing protein-like,NVL,8129294320,>sp|O15381|NVL_HUMAN Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL PE=1 SV=1;>sp|O15381-2|NVL_HUMAN Isoform 2 of Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL;>sp|O15381-5|NVL_HUMAN Isoform 5 of Nuclear valosin-containing
Q9NVU7;Q9NVU7-2,0.877759660656008,0.0740448613037097,9,"","",Protein SDA1 homolog,SDAD1,21687914243,>sp|Q9NVU7|SDA1_HUMAN Protein SDA1 homolog OS=Homo sapiens GN=SDAD1 PE=1 SV=3;>sp|Q9NVU7-2|SDA1_HUMAN Isoform 2 of Protein SDA1 homolog OS=Homo sapiens GN=SDAD1
P35611;P35611-3;P35611-2;P35611-6;P35611-4;P35611-5,0.87418840759041,0.0821348603046935,10,"","",Alpha-adducin,ADD1,42836259650,>sp|P35611|ADDA_HUMAN Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2;>sp|P35611-3|ADDA_HUMAN Isoform 3 of Alpha-adducin OS=Homo sapiens GN=ADD1;>sp|P35611-2|ADDA_HUMAN Isoform 2 of Alpha-adducin OS=Homo sapiens GN=ADD1;>sp|P35611-6|ADDA_HUMAN Isoform 6 of
Q9UKT9;Q9UKT9-7;Q9UKT9-4;Q9UKT9-3;Q9UKT9-9;Q9UKT9-8;Q9UKT9-6;Q9UKT9-2;Q9UKT9-5;Q9UKT9-15;Q9UKT9-10;Q9UKT9-13;Q9UKT9-14;Q9UKT9-11,0.873921231900724,0.0648243284720422,8,"","",Zinc finger protein Aiolos,IKZF3,2632744060,>sp|Q9UKT9|IKZF3_HUMAN Zinc finger protein Aiolos OS=Homo sapiens GN=IKZF3 PE=1 SV=2;>sp|Q9UKT9-7|IKZF3_HUMAN Isoform 7 of Zinc finger protein Aiolos OS=Homo sapiens GN=IKZF3;>sp|Q9UKT9-4|IKZF3_HUMAN Isoform 4 of Zinc finger protein Aiolos OS=Homo sapiens
Q9UHI6,0.873464373539156,0.0628172932260449,13,"","",Probable ATP-dependent RNA helicase DDX20,DDX20,18137067728,>sp|Q9UHI6|DDX20_HUMAN Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens GN=DDX20 PE=1 SV=2
P48200,0.870519972911488,0.0805060089338478,8,"","",Iron-responsive element-binding protein 2,IREB2,6429477280,>sp|P48200|IREB2_HUMAN Iron-responsive element-binding protein 2 OS=Homo sapiens GN=IREB2 PE=1 SV=3
Q13112,0.870331195975027,0.0872541592808565,9,"","",Chromatin assembly factor 1 subunit B,CHAF1B,20625697502.2,>sp|Q13112|CAF1B_HUMAN Chromatin assembly factor 1 subunit B OS=Homo sapiens GN=CHAF1B PE=1 SV=1
Q9Y5A7-2;Q9Y5A7,0.869743329815366,0.0833700287892367,9,"","",NEDD8 ultimate buster 1,NUB1,6608943073,>sp|Q9Y5A7-2|NUB1_HUMAN Isoform 2 of NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1;>sp|Q9Y5A7|NUB1_HUMAN NEDD8 ultimate buster 1 OS=Homo sapiens GN=NUB1 PE=1 SV=2
P61244-2,0.867566368371497,0.0619334979312004,7,"","",Protein max,MAX,1198109947,>sp|P61244-2|MAX_HUMAN Isoform 2 of Protein max OS=Homo sapiens GN=MAX
O43542,0.867460859740786,0.0348864246882768,5,"","",DNA repair protein XRCC3,XRCC3,265641910,>sp|O43542|XRCC3_HUMAN DNA repair protein XRCC3 OS=Homo sapiens GN=XRCC3 PE=1 SV=1
Q7KZI7-16;Q7KZI7-15;Q7KZI7-4;Q7KZI7-9;Q7KZI7-5;Q7KZI7-13;Q7KZI7-7;Q7KZI7-2;Q7KZI7-10,0.866787288025129,0.0648057330837287,8,"","",Serine/threonine-protein kinase MARK2,MARK2,7240833220,>sp|Q7KZI7-16|MARK2_HUMAN Isoform 16 of Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2;>sp|Q7KZI7-15|MARK2_HUMAN Isoform 15 of Serine/threonine-protein kinase MARK2 OS=Homo sapiens GN=MARK2;>sp|Q7KZI7-4|MARK2_HUMAN Isoform 4 of Serine/threo
